role,sequence,repetition,duty_percent,section,frame_bit_index,body_bit_index,target_bit,position,symbol_index,bit_in_symbol,x_first_i,x_first_q,x_second_i,x_second_q,x_first_abs,x_second_abs,x_delta_i,x_delta_q,x_delta_abs,x_aligned_i,x_aligned_q,x_sync_abs,y_first_i,y_first_q,y_second_i,y_second_q,y_first_abs,y_second_abs,y_delta_i,y_delta_q,y_delta_abs,y_aligned_i,y_aligned_q,y_sync_abs,pooled_aligned_i,pooled_aligned_q,baseline_llr,baseline_bit,sensor_y_llr,sensor_y_abs_llr,sensor_y_bit
historical,4,1,40.0,body,104,88,0,body_88,17,3,0.07106353643644858,-0.23657852148755837,0.09904984391401388,-0.03176312834197758,0.24702109837034886,0.10401811333349327,-0.027986307477565295,-0.20481539314558078,0.20671859779808793,-2.526136093987791,1.0035921802765722,0.07605007099994525,0.24534253213932136,-1.849041134014659,-2.043506821854994,3.252311595797889,1.8652469202104986,3.8410221096902464,2.2888493539943155,-5.1013527298125485,5.591299584107986,-4.323089718347038,1.3591712475767312,1.2338150512318824,-6.849225812334829,2.362763427853303,-4.174880418206005,0,-3.7306354691578494,3.7306354691578494,0
historical,22,3,10.0,body,30,14,0,body_14,2,4,0.017339682767889796,0.1113111456241761,-0.1559768165780133,-0.04588894290073442,0.11265360952343069,0.1625870917088994,0.1733164993459031,0.15720008852491052,0.23398819794544795,3.172638227932764,2.4733175442910933,0.05816548245098493,-0.7904072171477503,-0.3913447836571003,-0.5308644731442048,-1.248451620303703,0.8819831679884109,1.356631319513749,-0.2595427440035455,0.8571068366466028,0.8955414928361701,-0.40440525217053197,-0.7806914602489914,1.018566928335464,2.7682329757622317,1.692626084042102,1.4131582810033465,1,-0.32188225893534816,0.32188225893534816,0
historical,6,1,30.0,body,25,9,0,body_09,1,4,0.017339407103286165,-0.07829176773405179,-0.015154872894094272,0.06043403997315885,0.08018887662024081,0.06230524343836171,0.032494279997380436,-0.13872580770721063,0.1424806230915844,-2.0310363411351093,-0.5906589615767909,0.06736099054385629,-1.8199915403080662,0.673321002442265,-1.8392516732810078,-0.30057210672688156,1.9405489891066352,1.86364972808981,0.0192601329729416,0.9738931091691465,0.9740835389273769,0.31003734119180604,-0.36262090462713,2.0417087344751277,-1.7209989999433033,-0.9532798662039208,0.6279731091721958,1,0.915464866391261,0.915464866391261,1
historical,40,5,45.0,body,22,6,1,body_06,1,1,-0.042261970708273505,-0.09991722685313496,0.05744305546464801,-0.10371439778115238,0.10848744807657613,0.11855960917707907,-0.09970502617292151,0.0037971709280174154,0.09977730579244734,1.803907886606959,1.5652955940660247,0.04177660153978478,-2.538831103426106,-1.4138112897857327,2.8492201728836353,-0.08871518148252809,2.905946615966889,2.8506009852296987,-5.388051276309741,-1.3250961083032047,5.548601287926835,1.7778717460645719,1.485923228838495,2.394666704638938,3.581779632671531,3.0512188229045196,4.68830624606113,1,4.512043863150571,4.512043863150571,1
historical,13,2,30.0,body,68,52,0,body_52,10,2,-0.2248082729056515,0.040566719740153245,-0.098521537028883,-0.21220448499887778,0.22843909104463278,0.23395990406942063,-0.1262867358767685,0.25277120473903103,0.28256259767285163,4.419904035684711,-1.300403525319521,0.061330209205326766,-0.8895477626825038,0.2756887797050333,-1.9698880468128375,-1.8435757770062264,0.9312891738599233,2.698004922630833,1.0803402841303336,2.1192645567112596,2.3787428172981167,1.6439949623795913,-0.8199713085188587,1.2948097000990053,6.063898998064302,-2.1203748338383797,5.853617659950952,1,2.9570773430089234,2.9570773430089234,1
historical,44,5,25.0,body,49,33,1,body_33,6,3,-0.07803147249199237,0.13464729398613076,-0.1294440618753514,0.07272688085735032,0.15562392000285846,0.14847546717902266,0.051412589383359034,0.06192041312878044,0.0804822459250531,-1.8079836972381165,-1.2652144710973983,0.03647158688156571,-0.13198610267214989,1.393085784148931,-1.547093917859803,0.44698489373079836,1.3993242416596754,1.6103711019210225,1.4151078151876533,0.9461008904181327,1.702244701403167,-0.29566240631277785,-0.9573289973441161,1.6989391755648906,-2.1036461035508944,-2.2225434684415144,-0.8854307591570845,0,-0.5148448789053768,0.5148448789053768,0
historical,14,2,25.0,body,20,4,1,body_04,0,4,-0.05269673277809576,0.13584473946248654,0.008795285734470882,0.11463451746077163,0.14570771731489338,0.11497142968848802,-0.06149201851256664,0.021210222001714907,0.06504722790489899,0.6189957022348948,-1.2826620228273622,0.045672459164129854,0.845012151989963,-0.6881688409109521,-0.5075734585354026,0.3033050391850409,1.08978066169823,0.5912907597828916,1.3525856105253657,-0.991473880095993,1.6770534543397475,-1.3283414237207762,0.6682077697423396,1.1278549885151188,-0.7093457214858815,-0.6144542530850226,-1.1543588735027084,0,-1.348948256530774,1.348948256530774,0
historical,27,3,40.0,body,35,19,0,body_19,3,4,-0.11312543413618144,-0.0799665485902887,-0.04153458899159061,0.05076457721126609,0.13853524007249032,0.06559088642592778,-0.07159084514459083,-0.1307311258015548,0.1490499123175144,-3.8000562388531267,-1.2962663892427138,0.037122679792506254,0.8583353247831116,-0.7882584228866416,-3.7185457588109134,-0.995972364387457,1.1653715592128826,3.849616021240842,4.576881083594025,0.20771394150081535,4.581592030599693,-7.0703849439690165,-1.6034814684621839,0.6319497633912823,-10.870441182822143,-2.899747857704898,-1.9091863853589195,0,-0.24560160831390734,0.24560160831390734,0
historical,25,3,50.0,body,49,33,0,body_33,6,3,-0.11782213739793089,0.10545623740461522,-0.04340367190267416,-0.08165006429194217,0.15812360376792414,0.09246951786136487,-0.07441846549525673,0.1871063016965574,0.20136254900361159,2.0620170482999622,0.8756820535614497,0.0898838442640238,0.24262470489693633,-2.9350393869395397,-0.5975148965930733,3.664172498028541,2.9450505853571944,3.712571096552812,0.8401396014900097,-6.5992118849680805,6.6524756333785815,-2.7425752436802013,1.6498466124664486,2.078521855093193,-0.6805581953802391,2.525528666027898,-4.649125238520684,0,-6.781038772623403,6.781038772623403,0
historical,16,2,1.0,body,43,27,1,body_27,5,2,0.08338162356270025,-0.07504282012106946,-0.08296004448864921,-0.014315713931710179,0.11217807272223497,0.08418615472233672,0.16634166805134948,-0.06072710618935928,0.17708001568849902,1.6754179341622364,3.2112924903406466,0.04888911278425375,1.426227022364904,-0.5138845187311595,-0.4449972883958139,1.9341031516980067,1.5159817999947809,1.984635379128315,1.8712243107607178,-2.4479876704291663,3.0812536500189562,12.393015019884164,11.484745324335114,0.1823622298057044,14.0684329540464,14.69603781467576,0.6820936282658265,1,0.22107853131321695,0.22107853131321695,1
